day,daily_tweet_count,daily_score
2016-05-09,1025,0.015776878048780498
2016-05-10,1296,0.07431512345679012
2016-05-11,1226,0.07882194127243067
2016-05-12,2315,0.0414207343412527
2016-05-13,668,0.07110404191616766
2016-05-14,461,0.03389305856832972
2016-05-15,280,0.09038892857142859
2016-05-16,3074,0.19123516590761222
2016-05-17,1774,-0.1972759301014656
2016-05-18,1563,0.09398246960972488
2016-05-19,1381,0.08346973207820421
2016-05-20,1361,0.04794217487141808
2016-05-21,597,0.03515494137353434
2016-05-22,394,0.1389238578680203
2016-05-23,1387,0.15024160057678443
2016-05-24,1591,0.06945021998742928
2016-05-25,1706,0.06986987104337632
2016-05-26,1575,0.10348469841269842
2016-05-27,1071,0.09034705882352942
2016-05-28,192,0.287046875
2016-05-29,156,0.5095820512820513
2016-05-30,759,0.09888300395256917
2016-05-31,1083,0.18482391505078485
2016-06-01,1126,0.10417397868561279
2016-06-02,1543,0.02804672715489307
2016-06-03,1073,0.10032050326188256
2016-06-04,252,0.08084523809523808
2016-06-05,260,0.1549076923076923
2016-06-06,826,0.052107748184019365
2016-06-07,503,0.035345328031809155
2016-06-08,1064,0.0325078007518797
2016-06-09,1279,0.13422759968725567
2016-06-10,1441,0.15580333102012492
2016-06-11,442,0.01794547511312217
2016-06-12,340,0.19566088235294116
2016-06-13,2805,0.10632292335115864
2016-06-14,2839,0.023477527298344486
2016-06-15,1371,0.04625426695842451
2016-06-16,832,0.10918762019230768
2016-06-17,1164,-0.01816202749140893
2016-06-18,861,0.03646202090592335
2016-06-19,596,0.03965956375838926
2016-06-20,1325,0.10208837735849056
2016-06-21,1289,0.05770892164468581
2016-06-22,1095,-0.05438109589041095
2016-06-23,761,0.05212247043363995
2016-06-24,1010,0.03973891089108911
2016-06-25,284,0.11529823943661972
2016-06-26,218,0.5316532110091743
2016-06-27,845,0.0062398816568047365
2016-06-28,840,0.11697761904761905
2016-06-29,744,0.17350752688172044
2016-06-30,826,0.002007384987893457
2016-07-01,1181,-0.01647781541066893
2016-07-02,44,-0.6952590909090909
2016-07-03,253,-0.13629486166007906
2016-07-04,426,-0.07891737089201879
2016-07-05,889,-0.057374465691788536
2016-07-06,780,-0.02616538461538462
2016-07-07,764,0.03801688481675392
2016-07-08,788,0.09851332487309646
2016-07-09,267,0.028441198501872655
2016-07-10,208,0.06096153846153846
2016-07-11,763,0.06743381389252949
2016-07-12,838,0.10322625298329355
2016-07-13,512,0.113445703125
2016-07-14,1294,0.0374661514683153
2016-07-15,777,0.058668983268983274
2016-07-16,303,-0.15774653465346541
